EMPRESAS PRIORITÁRIAS (200+ avaliações, 4.3+ estrelas)
======================================================================

Linha22 | Bar Garrafeira | Restaurante | ⭐4.6 | 287 avaliações | 22 201 2234
Vasco da Gama Restaurant | Restaurante | ⭐4.6 | 556 avaliações | 937 176 262
Casa Das Tortas | Restaurante | ⭐4.4 | 637 avaliações | 910 740 013
Restaurante Japonês - BURI | Restaurante | ⭐4.4 | 865 avaliações | 22 600 9255
Mariscaria Bom Sucesso | Restaurante | ⭐4.4 | 861 avaliações | 22 609 6259
Imperador OPorto | Restaurante | ⭐4.6 | 545 avaliações | 965 171 595
Raio Azul | Café / Pastelaria | ⭐4.5 | 222 avaliações | 22 537 7155
Bella Roma - Porto | Café / Pastelaria | ⭐4.4 | 1676 avaliações | 22 200 9086
Neta 3 - Padaria e Confeitaria | Café / Pastelaria | ⭐4.5 | 1206 avaliações | 22 208 3649
Sem Stress | Café / Pastelaria | ⭐4.3 | 203 avaliações | 22 406 8912
Oporto Confeitaria | Café / Pastelaria | ⭐4.6 | 2295 avaliações | 22 502 0666
Orange on Patio | Café / Pastelaria | ⭐4.3 | 221 avaliações | sem tel
Maximus - Confectionery | Café / Pastelaria | ⭐4.3 | 1208 avaliações | 22 781 3627
Confeitaria São Domingos | Padaria / Confeitaria | ⭐4.6 | 961 avaliações | 22 200 5447
Confeitaria Porto Alegre | Padaria / Confeitaria | ⭐4.4 | 520 avaliações | 22 618 8898
Confeitaria A Nova Luso | Padaria / Confeitaria | ⭐4.4 | 244 avaliações | 22 606 7254
Olive Cafetaria Restaurante & Pizzaria | Padaria / Confeitaria | ⭐4.3 | 410 avaliações | 22 600 2399
Bar Lusco Fusco | Bar | ⭐4.4 | 555 avaliações | 938 844 393
Bali-Hai Polynesian Bar | Bar | ⭐4.6 | 968 avaliações | 22 332 3829
Champanheria da Baixa | Bar | ⭐4.3 | 535 avaliações | sem tel
La Boheme entre Amis | Bar | ⭐4.4 | 649 avaliações | 22 201 5154
O Pretinho do Japão | Bar | ⭐4.6 | 465 avaliações | 22 200 7185
